Date,Total Orders,Daily Revenue (QAR),New Subscribers,Active Subscribers,Churn (Cancellations),Referral Signups,Website Visitors,Trial Conversions,Avg Order Value (QAR),Top Restaurant,Most Popular Meal,Peak Order Time,Avg Delivery Time (min),Customer Rating,Support Tickets,Avg Response Time (min),Orders On Time %,Notes
2026-02-21,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,Launch Day
2026-02-22,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-02-23,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-02-24,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-02-25,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-02-26,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-02-27,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-02-28,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-01,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,Week 1 Summary
2026-03-02,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-03,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-04,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-05,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-06,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-07,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,
2026-03-08,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,Week 2 Summary
